name,n,m,t_julia_ms,k_julia,Q_r,t_r_ms,k_r,mod,dQ
er_1,2000,2975,45.055792,135,0.6456707294682578,6.3509,134,0.6567563307676005,-0.011085601299342773
grid_2d,10000,19800,369.245833,34,0.9110695668809305,22.325689,32,0.9153326675849405,-0.004263100704009926
ws_2,5000,30000,311.405209,41,0.89838546,11.503534,38,0.9019673438888891,-0.003581883888889137
sbm_2,6000,148647,1469.933458,2,0.40913371504786483,59.092767,2,0.4091337150478648,5.551115123125783e-17
karate,34,78,0.22875,4,0.4197896120973045,0.234438,4,0.41978961209730437,1.1102230246251565e-16
ws_1,2000,10000,75.903875,29,0.8324413549999999,4.756246,28,0.83271599,-0.00027463500000002306
er_2,5000,11118,278.134042,93,0.4757157807167652,15.905253,94,0.503308545032355,-0.027592764315589824
ba_1,5000,14991,429.67145800000003,31,0.3689796850115495,15.830059,20,0.4131771927764313,-0.044197507764881794
ba_2,10000,49975,1605.901458,35,0.2380627194037239,43.622565,13,0.2963849814852399,-0.058322262081516
sbm_1,4000,87560,985.383959,2,0.41175193363459595,32.646496,2,0.4117519336345959,5.551115123125783e-17
